Page,RowBandIndex,ColIndex,AccRaw,CodeRaw,CatRaw
20,0,0,213,,22802
20,0,1,25279,,847 2
20,0,2,47,,
20,1,1,253,,2
20,1,2,8,,
20,2,1,25343,,2
20,2,2,49,,
20,3,0,213,,22816
20,3,1,253863,,2
20,3,2,410,,
20,4,0,2913,,22910
20,4,1,253,,2
20,4,2,,,
20,5,0,213,,22957
20,5,1,253,,2
20,5,2,16,,
20,6,0,2913,,22995
20,6,1,253,,2
20,6,2,419,,
20,7,0,213,,23013
20,7,1,253,,2
20,7,2,,,
20,8,1,253,,
20,8,2,1,,
20,9,1,253,,2
20,9,2,499,,
20,10,1,253,,2
20,10,2,,,
20,11,1,253,,2
20,11,2,492,,
20,12,1,253,,2
20,12,2,132,,
20,13,1,253,,2
20,13,2,34,,
20,14,1,253,,2
20,14,2,437,,
20,15,1,253,,
20,15,2,438,,
20,16,2,7,,
20,17,1,253,,
20,17,2,49,,
20,18,1,253,,2
20,18,2,269,,
20,19,1,253,,2
20,19,2,979,,
20,20,1,25336,,
20,20,2,972,,
20,21,1,2532,,2
20,21,2,,,
20,22,1,2536,,
20,22,2,75,,
20,23,1,253,,
20,23,2,299,,
20,24,1,253,,
20,24,2,995,,
20,25,1,253,,
20,25,2,296,,
20,26,1,253,,
20,26,2,305,,
20,27,1,253,,
20,27,2,399,,
20,28,1,2534,,2
20,28,2,330,,
20,29,1,253,,2
20,29,2,337,,
20,30,1,253,,
20,30,2,322,,
20,31,1,253,,2
20,31,2,250,,
20,32,1,253,,2
20,32,2,351,,
20,33,1,253,,2
20,33,2,358,,
20,34,1,253,,
20,34,2,2590,,
20,35,2,2617,,
20,36,1,253,,2
20,36,2,363,,
20,37,1,253,,2
20,37,2,365,,
20,38,1,253,,2
20,38,2,3278,,
20,39,1,253,,2
20,39,2,389,,
20,40,1,253,,2
20,40,2,324,,
20,41,1,253,,2
20,41,2,3904,,
20,42,1,253,,2
20,42,2,3905,,
20,43,1,253,,2
20,43,2,396,,
20,44,1,253,,2
20,44,2,390,,
20,45,1,253,,
20,45,2,00,,
20,46,0,213,,19010
20,46,1,253,,9
20,46,2,,,
20,47,1,253,,2
20,47,2,5,,
20,48,1,253,,9
20,48,2,417,,
20,49,1,253,,
20,49,2,2,,
20,50,1,253,,2
20,50,2,,,
20,51,1,253,,0
20,51,2,7,,
20,52,1,253,,
20,52,2,42320,,
20,53,1,2532,,0
20,53,2,2347,,
27,0,1,254,,34
27,0,2,077,,
27,1,1,254,,55
27,1,2,1066,,
27,2,1,254,,36
27,2,2,1067,,
27,3,1,254,,37
27,3,2,16,,
27,4,1,254,,38
27,4,2,1079,,
27,5,0,4,,1564
27,5,1,254,,39
27,5,2,1077,,
27,6,0,4,,1565
27,6,1,254,,10
27,6,2,10724,,
27,7,1,254,,11
27,7,2,110,,
27,8,0,4,,1567
27,8,1,254,,12 2
27,8,2,17107,,
27,9,1,254,,13 2
27,9,2,1105,,
27,10,1,254,,14 2
27,10,2,17198,,
27,11,0,4,,1594
27,11,1,254,,15
27,11,2,171527,,
27,12,0,4,,1639
27,12,1,254,,16 2
27,12,2,1563,,
27,13,1,254,,1 2
27,13,2,1570,,
27,14,0,4,,1657
27,14,1,254,,18 2
27,14,2,1571,,
27,15,1,254,,19 2
27,15,2,15792,,
27,16,1,254,,10 2
27,16,2,1573,,
27,17,1,254,,1 2
27,17,2,1574,,
27,18,1,254,,2 2
27,18,2,1575,,
27,19,1,254,,3 2
27,19,2,1576,,
27,20,1,254,,
27,20,2,1577,,
27,21,1,254,,5 2
27,21,2,1578,,
27,22,1,254,,6 2
27,22,2,1579,,
27,23,0,4,,1703
27,23,1,254,,2
27,23,2,1580,,
27,24,1,254,,8 2
27,24,2,1587,,
27,25,1,254,,9 2
27,25,2,1589,,
27,26,2,1583,,
27,27,2,1584,,
27,28,1,254,,2 2
27,28,2,1585,,
27,29,2,1586,,
27,30,1,254,,9
27,30,2,1587,,
27,31,1,254,,5 2
27,31,2,1588,,
27,32,1,254,,6 2
27,32,2,1589,,
27,33,1,254,,7 9
27,33,2,1590,,
27,34,1,254,,8 2
27,34,2,15917,,
27,35,1,254,,2
27,35,2,1599,,
27,36,0,4,,1716
27,36,1,254,,0 2
27,36,2,1593,,
27,37,1,254,,2
27,37,2,1595,,
27,38,1,254,,2
27,38,2,1596,,
27,39,1,254,,2
27,39,2,1597,,
27,40,1,254,,2
27,40,2,1598,,
27,41,1,294,,
27,41,2,1599,,
27,42,1,254,,2
27,42,2,1600,,
27,43,1,254,,2
27,43,2,16017,,
27,44,1,254,,2
27,44,2,16092,,
27,45,1,254,,2
27,45,2,1603,,
27,46,1,254,,2
27,46,2,1604,,
27,47,1,254,,2
27,47,2,1605,,
27,48,0,24,,1728
27,48,1,254,,2
27,48,2,1606,,
27,49,1,254,,2
27,49,2,1607,,
27,50,0,4,,1730
27,50,1,254,,2
27,50,2,1608,,
27,51,0,24,,1731
27,51,1,254,,2
27,51,2,1609,,
27,52,1,254,,2
27,52,2,1610,,
27,53,0,24,,1733
27,53,1,254,,2
27,53,2,1617,,
53,0,0,6110,,64837
53,0,1,6110,,37 6
53,0,2,65274,,
53,1,0,6110,,64838
53,1,1,6110,,38 6
53,1,2,6525,,
53,2,0,6110,,64840
53,2,1,6110,,57 6
53,2,2,6525,,
53,3,0,6110,,64841
53,3,1,6110,,62 6
53,3,2,6525,,
53,4,0,6110,,64844
53,4,1,6110,,68 6
53,4,2,6576,,
53,5,0,6110,,64845
53,5,1,6110,,73 6
53,5,2,0 6526,,
53,6,0,6110,,64846
53,6,1,6110,,74 6
53,6,2,06 6526,,
53,7,0,6110,,64850
53,7,1,6110,,77 6
53,7,2,6527,,
53,8,0,6110,,64851
53,8,1,6110,,79 6
53,8,2,0 6527,,
53,9,0,6110,,64852
53,9,2,6527,,
53,10,0,6110,,64869
53,10,1,6110,,86 6
53,10,2,0 6527,,
53,11,0,6110,,64872
53,11,1,6110,,5 6
53,11,2,0 65278,,
53,12,0,6110,,64875
53,12,1,6110,,1 6
53,12,2,0 65278,,
53,13,0,6110,,64876
53,13,1,6110,,02 6
53,13,2,0 65278,,
53,14,0,6110,,64880
53,14,1,6110,,06 6
53,14,2,0 6529,,
53,15,0,6110,,64883
53,15,2,6530,,
53,16,0,611,,64886
53,16,2,0 6531,,
53,17,0,611,,64888
53,17,1,6110,,12 6
53,17,2,0 6531,,
53,18,0,611,,64890
53,18,1,6110,,15 6
53,18,2,0 6531,D,
53,19,0,611,,64900
53,19,1,6110,,6
53,19,2,0 6531,,
53,20,0,611,,64905
53,20,1,6110,,22 6
53,20,2,0 6532,,
53,21,0,611,,64908
53,21,1,6110,,29 6
53,21,2,0 6532,,
53,22,0,611,,64911
53,22,1,6110,,37 6
53,22,2,0 6532,,
53,23,0,611,,64914
53,23,1,6110,,37 6
53,23,2,6532,,
53,24,2,0 6533,,
53,25,0,611,,64995
53,25,1,6110,,6
53,25,2,0 6533,,
53,26,0,611,,64927
53,26,1,6110,,48 6
53,26,2,6534,,
53,27,0,611,,64935
53,27,1,6110,,55 6
53,27,2,6534,,
53,28,1,6110,,56 6
53,28,2,6534,,
53,29,0,611,,649492
53,29,1,6110,,62 6
53,29,2,6535,,
53,30,0,611,,64947
53,30,1,6110,,65 6
53,30,2,0 6535,,
53,31,1,6110,,67 6
53,31,2,0 6536,,
53,32,1,6110,,68 6
53,32,2,6536,,
53,33,0,611,,64959
53,33,1,6110,,69 6
53,33,2,0 6537,,
53,34,0,611,,64967
53,34,1,6110,,10 6
53,34,2,6538,,
53,35,1,6110,,6
53,35,2,0 6538,,
53,36,0,611,,64976
53,36,1,6110,,3 6
53,36,2,0 6538,,
53,37,1,6110,,5 6
53,37,2,6538,,
53,38,1,6110,,16 6
53,38,2,6539,,
53,39,1,6110,,6
53,39,2,0 6539,,
53,40,1,6110,,6
53,40,2,0 6539,,
53,41,1,6110,,84 6
53,41,2,0 6539,,
53,42,1,6110,,85 6
53,42,2,0 6540,,
53,43,2,0 6540,,
53,44,0,611,,64994
53,44,1,6110,,992 6
53,44,2,6540,,
53,45,0,611,,64998
53,45,1,6110,,93 6
53,45,2,0 6541,,
53,46,1,6110,,99 6
53,46,2,0 6541,,
53,47,1,6110,,13 6
53,47,2,0 65472,,
53,48,1,6110,,18 6
53,48,2,0 6547,,
53,49,1,6110,,23 6
53,49,2,6542,,
53,50,1,6110,,25 6
53,50,2,0 6542,,
53,51,1,6110,,26 6
53,51,2,0 6542,,
53,52,1,6110,,30 6
53,52,2,0 6543,,
53,53,1,6110,,34 6
53,53,2,0 6543,,
61,0,0,,,
61,0,1,,,
61,0,2,,,
61,1,0,63,,73413
61,1,1,6337,,3643
61,1,2,13 740,G,
61,2,0,637,,713416
61,2,1,6337,,3647
61,2,2,13 4,D,
61,3,0,63,,134921
61,3,1,6337,,3649
61,3,2,13 14,G,
61,4,1,6337,,3652
61,4,2,13 7,,
61,5,1,6337,,3657
61,5,2,13 14,,
61,6,0,63,,73499
61,6,1,6337,,3658
61,6,2,13 4,,
61,7,0,63,,73431
61,7,1,6337,,3659
61,7,2,13 74,,
61,8,0,63,,73433
61,8,1,6337,,3660
61,8,2,13 74,,
61,9,0,63,,73436
61,9,1,6337,,3664
61,9,2,136 74,,
61,10,0,63,,73437
61,10,1,6337,,3665
61,10,2,913 74,,
61,11,0,63,,73444
61,11,1,6337,,3669
61,11,2,13 74,,
61,12,0,63,,7 73445
61,12,1,6337,,3671
61,12,2,9136 74,,
61,13,0,63,,13448
61,13,1,6337,,3672
61,13,2,9136 74,,
61,14,0,63,,73449
61,14,1,6337,,3673
61,14,2,913 74,,
61,15,0,63,,73450
61,15,1,6337,,3675
61,15,2,913 74,,
61,16,0,63,,73458
61,16,1,6337,,3678
61,16,2,913 74,,
61,17,0,63,,1 3461
61,17,1,6337,,3688
61,17,2,913 7,,
62,0,0,,,
62,0,1,,,
62,0,2,,,
62,1,0,657,,74186
62,1,1,6570,,1465
62,1,2,70 741,,
62,2,0,857,,74206
62,2,2,70 141,G,
62,3,0,657,,74209
62,3,1,6570,,41470
62,3,2,70 141,D,
62,4,0,657,,74210
62,4,1,6570,,447
62,4,2,0 14,,
62,5,1,6570,,1478
62,5,2,0 74,,
62,6,0,657,,74215
62,6,1,6570,,4479
62,6,2,0 74,,
62,7,0,85,,74219
62,7,1,6570,,4489
62,7,2,70 14,,
62,8,0,65,,14944
62,8,1,6570,,4492
62,8,2,0 74,,
62,9,1,6570,,4500
62,9,2,0 74,,
62,10,0,65,,9537
62,10,1,6570,,501
62,10,2,0 14,,
62,11,0,65,,9539
62,11,1,6570,,4502
62,11,2,0 714,,
62,12,0,65,,541
62,12,1,6570,,4504
62,12,2,970 74,,
62,13,0,65,,2543
62,13,1,6570,,4509
62,13,2,0 14,,
62,14,0,65,,74981
62,14,1,6570,,4520
62,14,2,10 14,,
62,15,0,65,,7
62,15,1,6570,,4523
62,15,2,0 14,,
